coordinates;created_at;hashtags;media;urls;favorite_count;id;in_reply_to_screen_name;in_reply_to_status_id;in_reply_to_user_id;lang;place;possibly_sensitive;quote_id;retweet_count;retweet_id;retweet_screen_name;source;text;tweet_url;user_created_at;user_id;user_default_profile_image;user_description;user_favourites_count;user_followers_count;user_friends_count;user_listed_count;user_location;user_name;user_screen_name;user_statuses_count;user_time_zone;user_urls;user_verified
;Tue Jun 01 05:40:25 +0000 2021;;;;0;1399601711308754944;;;;pl;;;;0;;;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Trzaskowski jest the best C😂 miasto Warszawa zburzone przez Niemców a ten bierze kasę na - skojarzenie możliwe - campus Polska . Dziwny ten prezydent;https://twitter.com/KonradZiembicki/status/1399601711308754944;Sun Aug 05 11:08:04 +0000 2012;738411840;FAŁSZ;Miłośnik historii , hodowca gołębi pocztowych . MPD od urodzenia;23893;237;634;9;Polska;Konrad Ziembicki;KonradZiembicki;17969;;;FAŁSZ
;Tue Jun 01 05:00:40 +0000 2021;;;;0;1399591707747000321;LemingowOwca;1399347564391116806;1322864316740194300;pl;;;;0;;;"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>";"@LemingowOwca @K_Galecka @ZDM_Warszawa @LemingowOwca  Nie do końca rozumiem czemu miejsce tortur - ikość pasów (z tego co widzę) bez zmian, więc będzie tak samo źle jak jest :)
@K_Galecka ja może czegoś nie łapię, ale jaka jest wartość dodana takiej zmiany? Czemu nie puszczają aut lub tramwaji górą lub dołem?";https://twitter.com/p_danielewski/status/1399591707747000321;Sat Aug 06 08:50:43 +0000 2011;349557969;FAŁSZ;;177;12;154;1;Warszawa;Piotr Danielewski;p_danielewski;257;;;FAŁSZ
;Tue Jun 01 06:11:32 +0000 2021;;;https://warszawa.wyborcza.pl/warszawa/7,54420,27148510,92-letni-powstaniec-zbieral-na-operacje-oczu-zostal-okradziony.html;5;1399609540849639426;;;;pl;;FAŁSZ;;0;;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"Ludzie są okrutni.
https://t.co/GgNSNbPAfA";https://twitter.com/Aettka/status/1399609540849639426;Thu Feb 27 12:58:26 +0000 2020;1233013482125172736;FAŁSZ;Rozum powinien być wolny, a wolność- rozumna.;141212;7245;3712;8;Gdańsk, Polska;Angelika;Aettka;63024;;;FAŁSZ
;Tue Jun 01 05:00:36 +0000 2021;warszawa;;https://ift.tt/2eGZx0Z;0;1399591690172784640;;;;pl;;FAŁSZ;;0;;;"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>";Pogoda dziś w #warszawa: Sunny. Temperatura min: 9 °C max: 19 °C. https://t.co/sy7jwyPSJk;https://twitter.com/pogodawawa/status/1399591690172784640;Sat Jun 11 20:09:10 +0000 2016;741723971545124864;FAŁSZ;"3 razy dziennie przedstawiamy wam pogodę dla Warszawy.

#Warszawa #Warsaw #Stolica #100lica";0;97;7;1;Warszawa;Pogoda w Warszawie;pogodawawa;7294;;;FAŁSZ
;Tue Jun 01 01:03:25 +0000 2021;;;;4;1399532000218865666;jarek_osowski;1399383940083949570;2841848969;pl;;;;0;;;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";@jarek_osowski @AnnaKalczynska @K_Stanowski Tylko, że Warszawa to nie Paryż. Tu nie ma metra co 500 metrów a do Centrum czasem jest ponad 20 km. Paryż jest 2 razy mniejszy i rowerem jedzie się przeciętnie 4-5 km. No i pogoda;https://twitter.com/PawelLech1/status/1399532000218865666;Thu Feb 10 06:44:20 +0000 2011;250010439;FAŁSZ;Radny Rady m. st. Warszawy, Przewodniczący Komisji Zdrowia. Od zawsze gorszego sortu)));12607;1040;1208;15;Warszawa;Paweł LECH;PawelLech1;5417;;;FAŁSZ
;Tue Jun 01 06:18:37 +0000 2021;dzieci;;;0;1399611322506137600;;;;pl;;;;22;1399610269467394048;Warszawa_STAT;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"Pomimo malejącej liczby urodzeń w Warszawie, liczba #dzieci wzrasta. Wszystko za sprawą migracji do atrakcyjnej dla rodzin z dziećmi stolicy. https://t.co/NaRixsWTpo
 
Z okazji #DzieńDziecka najmłodszym mieszkańcom #Warszawa i #Mazowsze życzymy samych radości i spełnienia marzeń! https://t.co/JoLh9B5cbe";https://twitter.com/TymMarc/status/1399611322506137600;Wed Jul 20 17:37:40 +0000 2011;339158789;PRAWDA;;1203;0;42;0;;TymMarc;TymMarc;994;;;FAŁSZ
;Tue Jun 01 04:59:29 +0000 2021;MistrzowskoZagranaAkcja MZA;;https://www.facebook.com/skkpolonia/videos/378163756953482;2;1399591409976479746;;;;pl;;FAŁSZ;;1;;;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";"🚌🏆🥇 Macie ochotę powspominać magiczne momenty zespołu Polonii z meczu finałowego 1. Ligi Kobiet z MKS Pruszków? Dzięki naszemu Sponsorowi Generalnemu @MZA_Warszawa  jest to jak najbardziej marzenie do spełnienia!👇 
https://t.co/4Bhs00V85J
#MistrzowskoZagranaAkcja #MZA";https://twitter.com/skkpolonia/status/1399591409976479746;Mon Aug 25 18:55:23 +0000 2014;2767454460;FAŁSZ;Oficjalne konto Sekcji Koszykówki Kobiet Polonii Warszawa | EBLK | EWBL |;7267;859;303;6;Warszawa, Polska;SKK Polonia Warszawa;skkpolonia;13947;;http://poloniawarszawa.com;FAŁSZ
;Tue Jun 01 05:21:27 +0000 2021;;;;1;1399596937406566401;swiat_kolpakow;1399596572845936640;1,24402E+18;pl;Lodz, Poland;;;0;;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";@swiat_kolpakow @Miasto_Lodz Warszawa takim bieżącym utrzymaniem wygrywa w tramwaje...;https://twitter.com/tomkisielek/status/1399596937406566401;Tue Jan 28 21:17:09 +0000 2014;2316085040;FAŁSZ;"Fotografia drogowa, kolejowa, miejska. Moje fotki z S14, S10 na SkyscraperCity.
Od marca 2021 redaktor: https://t.co/mk053cStJS. Od XII 2022 https://t.co/ic2W4w9Yz5";68635;835;644;1;Łódź, Polska;Tomkisiel;tomkisielek;22548;;;FAŁSZ
;Tue Jun 01 05:26:22 +0000 2021;;https://twitter.com/MarkonMarek/status/1399598174130552833/photo/1;;0;1399598174130552833;;;;pl;;FAŁSZ;;0;;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Czerwiec Warszawa https://t.co/4V8oPKrEe8;https://twitter.com/MarkonMarek/status/1399598174130552833;Thu Oct 13 11:53:32 +0000 2016;786535339095650304;FAŁSZ;✌️#SilniRazem 🇵🇱🇪🇺Wolna Polska bez PiS Urodzony w Warszawie Nigdy więcej mafii PiS  😡;271569;1468;1950;7;Warszawa, Polska;MarKon#SilniRazem ***** ***✌️✌️✌️✌️✌️;MarkonMarek;85125;;;FAŁSZ
;Tue Jun 01 05:52:29 +0000 2021;;;https://ift.tt/3uD9dki;1;1399604744327512064;;;;pl;;FAŁSZ;;0;;;"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>";⚠️ Utrudnienia w komunikacji: R6 https://t.co/oNBIotdvXr;https://twitter.com/WTP_Warszawa/status/1399604744327512064;Wed Aug 28 13:39:39 +0000 2013;1707334088;FAŁSZ;Warszawski Transport Publiczny - oficjalny profil prowadzony przez Zarząd Transportu Miejskiego;1841;30608;105;140;Warszawa, Polska;WTP Warszawa;WTP_Warszawa;35367;;http://www.wtp.waw.pl;FAŁSZ
;Tue Jun 01 05:42:30 +0000 2021;;;http://drogi.gddkia.gov.pl;0;1399602231964545025;;;;pl;;FAŁSZ;;14;1399355115438493699;GDDKiA;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";💻 Nowy serwis https://t.co/FP2q1Mp6UI to przede wszystkim pomoc i źródło informacji dla poruszających się po drogach zarządzanych przez GDDKiA. 👍 https://t.co/KTqxZCsCSz;https://twitter.com/GDDKiA_Warszawa/status/1399602231964545025;Sun Jun 10 21:29:03 +0000 2018;1005924828845658115;FAŁSZ;;13042;2905;66;21;;GDDKiA Warszawa;GDDKiA_Warszawa;2922;;;FAŁSZ
;Tue Jun 01 05:40:25 +0000 2021;SlonskoSztama;;;0;1399601708351766528;;;;pl;;;;12;1399474538082144263;LukaszKohut;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"Tako Warszawa to jo mom richtig we zocy. Harce #SlonskoSztama we Warschau. Wielokulturowość i uznawanie mniejszości etnicznych to standardy europejskie❗

#tylkoprzypominam 🟡🔵 https://t.co/dCkUlUekbl https://t.co/1R5OERTjgR";https://twitter.com/RafRepRzep/status/1399601708351766528;Wed Feb 06 16:51:51 +0000 2019;1093190546066231296;FAŁSZ;Śląski aktywista i edukator. Nauczam i tłumaczę ludziom Śląsk. Współtwórca DURŚ oraz kolektywu Uotwarty Ślůnsk. Narodowość: śląska, język: śląski. 🖤💛💙;5431;435;143;1;;Rafał Rzepka;RafRepRzep;2363;;;FAŁSZ
;Tue Jun 01 01:29:53 +0000 2021;;;;0;1399538661574819840;MarcinBHaber;1399373159342743559;2315843406;pl;;;;0;;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"@MarcinBHaber @warszawa Uważam, że pomysł z przejściami na końcu przystanków jest bardzo dobry. 
Z przodu mamy ciągle przejścia podziemne.
Większa modernizacja jak to już tu ktoś pisał jest teraz bez sensu bo szykuje się większy remont.";https://twitter.com/GFratczak/status/1399538661574819840;Tue Oct 04 11:51:53 +0000 2011;384825539;FAŁSZ;dziennikarz;8483;1167;3115;14;Warszawa, Polska;Grzegorz Frątczak;GFratczak;4012;;;FAŁSZ
;Tue Jun 01 05:59:11 +0000 2021;;;;0;1399606431616208897;;;;pl;;;1270730144877953024;1;1380072140007956480;TytusKiszka;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";@GPietruczuk @RazemDlaBielan @DominikkKuc @Bielany_Love @MiMichalowski @PiS_Bielany @POBielany @ZDM_Warszawa @warszawa Panie burmistrzu, dziękuję za odpowiedź. Może niektóre zmiany można wdrożyć małym kosztem, za pomocą farby? Rozwiązanie tymczasowe aż środki nie wrócą do budżetu? W Paryżu właśnie z uwagi na covid wytyczono dziesiątki kilometrów takich ścieżek rowerowych. https://t.co/wxirTUjhyo;https://twitter.com/parents4future/status/1399606431616208897;Sat Feb 16 13:41:41 +0000 2019;1096766566279073792;FAŁSZ;Aktivist*innen - Eltern, Freunde und engagierte Menschen stellen sich neben #FridaysForFuture & deren Forderungen. #SystemChangeNotClimateChange #ClimateJustice;296092;54244;41300;504;Deutschland;@parents4future@climatejustice.global;parents4future;203817;;https://linktr.ee/parents4future;PRAWDA
;Tue Jun 01 04:44:03 +0000 2021;;https://twitter.com/OnetWiadomosci/status/1399587525220466689/photo/1;http://dlvr.it/S0q2fc;2;1399587525220466689;;;;pl;;FAŁSZ;;0;;;"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>";Wi-Fi w warszawskim SKM na razie będzie dostępne tylko w nowych pociągach https://t.co/imKPM9dxE1 https://t.co/M2ReoLWg3G;https://twitter.com/OnetWiadomosci/status/1399587525220466689;Wed May 16 12:31:18 +0000 2012;581793998;FAŁSZ;Onet Wiadomości to najpopularniejszy polski multimedialny serwis informacyjny.;3429;247519;812;551;Polska;Onet Wiadomości;OnetWiadomosci;224054;;http://wiadomosci.onet.pl;FAŁSZ
;Tue Jun 01 04:15:09 +0000 2021;;;;0;1399580252259733504;;;;pl;;;1398938966712328194;7;1399069887436308485;PawelLenarczyk;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"Moje miasto a w nim... ""wszystkich nas łączy Warszawa - miasto dla pokoleń różnych potrzeb, oczekiwań, otwarte na dialog i poszanowanie różnorodności"". https://t.co/8MeW63MXg9";https://twitter.com/mruwka/status/1399580252259733504;Sun Feb 19 17:04:30 +0000 2012;497125046;FAŁSZ;#HejtStop;109932;1223;1484;6;;Nina 💛;mruwka;75481;;;FAŁSZ
;Tue Jun 01 02:13:46 +0000 2021;;;;0;1399549703805706241;;;;pl;;;;37;1399432301889691654;lisieckipawel;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Rada Warszawy podjęła uchwałę krajobrazową dotyczącą reklam. Uchwała krajobrazowa za sprawą wojewody mazowieckiego trafiła do sądu. Sąd przyznał rację wojewodzie wytykając błędy Radnym Warszawy. Lewica za sytuację wini wojewodę i żąda jego dymisji. #AbsurdyWarszawy #Warszawa;https://twitter.com/ElbietaStaczuk/status/1399549703805706241;Sat Mar 17 17:39:54 +0000 2012;527674346;FAŁSZ;RT nie zawsze znaczy poparcie.;43932;1851;4999;1;polska;Elżbieta Stańczuk;ElbietaStaczuk;76082;;;FAŁSZ
;Fri Jun 04 15:45:39 +0000 2021;;;https://warszawa.wyborcza.pl/warszawa/7,54420,27157444,warszawskie-puby-przygotowuja-sie-na-euro-2020-na-przeszkodzie.html;0;1400841186005356546;;;;pl;;FAŁSZ;;1;1400840655757250565;GazetaStoleczna;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";"https://t.co/3TSBVAk63h
Puby i restauracje już przygotowują się do przyjęcia kibiców.";https://twitter.com/gazeta_wyborcza/status/1400841186005356546;Mon Jan 19 10:38:55 +0000 2009;19179390;FAŁSZ;Oficjalne konto Gazety Wyborczej. Agora S.A. przetwarza dane w związku z prowadzeniem profilu. Więcej: https://t.co/v45sKvG0i5;15587;895927;595;1656;Warszawa + 32 miasta;Gazeta Wyborcza.pl;gazeta_wyborcza;236254;;http://www.wyborcza.pl;PRAWDA
;Tue Jun 01 06:00:37 +0000 2021;;https://twitter.com/Glodowo/status/1399606791114219521/photo/1;;0;1399606791114219521;;;;pl;;FAŁSZ;;0;;;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Dobrego slodkiego dnia.Festiwal Czekolady Warszawa 2021. https://t.co/sreGrDAdX5;https://twitter.com/Glodowo/status/1399606791114219521;Tue Jul 28 21:22:32 +0000 2015;3392765176;FAŁSZ;;54690;1835;2182;2;Kaszuby;Mirosława Brzezińska #MuremZaPolskimMundurem;Glodowo;28184;;;FAŁSZ
;Tue Jun 01 05:46:20 +0000 2021;;;;1;1399603196901965825;piotrek77141877;1399043224073814018;961928496934203400;pl;;;;0;;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";@piotrek77141877 @warszawa Niestety jest dość mocno trującą dla ludzi i zwierząt dlatego rosną na środku ronda gdzie ani psy ani dzieci nie mają łatwego dostępu. Też chciałbym mieć ją w ogrodzie ale jest zbyt niebezpieczna. W mieście wygląda super!;https://twitter.com/Rober_K_/status/1399603196901965825;Wed Jan 18 17:16:47 +0000 2017;821768310413000709;FAŁSZ;;32;0;50;0;;Robert K.;Rober_K_;81;;;FAŁSZ
;Tue Jun 01 05:31:38 +0000 2021;zapylacze;;;0;1399599497857097729;;;;pl;;;;4;1397757301067595780;obpowsin;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";"Zapraszamy do udziału w spacerze oraz warsztatach poświęconym roślinom przyjaznym pszczołom, motylom i innym #zapylacze 🙂

Wymagana rejestracja na spacery@obpan.pl

#obpowsin #ogródbotaniczny #Warszawa #ursynów #powsin https://t.co/t5Ot9D2gGV";https://twitter.com/wielkrop2017/status/1399599497857097729;Thu Mar 23 09:10:40 +0000 2017;844838795455311872;FAŁSZ;"""siwy mróz czy lipiec duszny, nic, że droga wyboista, ważne, że kierunek słuszny!"" Wojciech Młynarski   
  #Kudlata 🐕 #Tosia 🐕 #mojogrod 🌱";213046;4057;3147;4;;Kaśka B. 🇵🇱 🇪🇺 🇺🇦;wielkrop2017;181644;;;FAŁSZ
;Tue Jun 01 05:13:17 +0000 2021;;;;0;1399594881589428224;;;;pl;;;;5;1399395307444703244;Lewica_News;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";".@PaulinaPiechna: Warszawa latami czekała na to, aż chaos reklamowy, reklamoza przestaną mieć miejsce i będziemy cieszyć się estetyczną przestrzenią.
(...)Nie da się nazwać tego inaczej jak tym, że wojewoda toleruje chaos reklamowy w stolicy i wspomaga go.
https://t.co/ToKMYkxXL0";https://twitter.com/Lewica_News/status/1399594881589428224;Tue Oct 29 03:52:51 +0000 2019;1189027237498150912;FAŁSZ;"Profil nieoficjalny (fanpage) z treściami wspierającymi środowiska lewicowe.
#Lewica #NowaLewica #LEWICAwMEDIACH @__Lewica @wiosnabiedronia @partiarazem";31414;12233;96;62;;Lewica News 🗞️📻📺;Lewica_News;45129;;;FAŁSZ
;Tue Jun 01 05:03:07 +0000 2021;;;;0;1399592322942263296;;;;pl;;;;5;1292715576746549248;BogdanKowalski2;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"Prawo trzeba przestrzegać‼️Od tego nie może być odstępstwa tylko dlatego, że ktoś nosi sześciokolorową maseczkę na twarzy czy sześciokolorowy materiał na kiju‼️
https://t.co/faReGXuN8g";https://twitter.com/Aleksan23492042/status/1399592322942263296;Fri Apr 30 07:14:24 +0000 2021;1388028860109934594;FAŁSZ;Prawa strona mocy;16945;387;756;1;;Aleksander;Aleksan23492042;16497;;;FAŁSZ
;Tue Jun 01 03:28:50 +0000 2021;;;;0;1399568596272140289;;;;pl;;;;37;1399248778356420611;Pan_Dubon;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"Wysłałem wniosek do miasta Warszawa o zmianę nazwy ulicy ze ""śniadeckich"" na ""osób o ciemniejszej karnacji skóry"". Dla osób o ciemniejszej karnacji skóry określenie śniadecki jest krzywdzące oraz stygmatyzujące. https://t.co/127mDPEfRl";https://twitter.com/Skorpion2021/status/1399568596272140289;Mon May 03 16:07:07 +0000 2021;1389250110341648391;FAŁSZ;"„Jeżeli Bóg w życiu jest na pierwszym miejscu, wszystko znajdzie się na właściwym miejscu” - Św. Augustyn
⛔️DM";130498;3624;4965;0;;Robert;Skorpion2021;60870;;;FAŁSZ
;Tue Jun 01 02:04:33 +0000 2021;;;;0;1399547385227976709;;;;pl;;;;1;1399348727756767233;uwteam;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"Przyznam, że trochę inaczej zrozumiałem ogłoszenie Banota na Instagramie, że w weekend będziemy mogli zobaczyć go na Polsacie 😄
https://t.co/m1TNi4p5sG";https://twitter.com/pecetowicz/status/1399547385227976709;Sun Oct 14 17:42:04 +0000 2012;880608030;FAŁSZ;"The official Twitter profile of Pecetowicz, one of the largest IT communities in Poland.

Join us! 🟢";1446;90;753;3;Warszawa;Pecetowicz.pl 💬;pecetowicz;881;;https://www.pecetowicz.pl;FAŁSZ
;Tue Jun 01 02:04:38 +0000 2021;;;;0;1399547406107217922;;;;pl;;;;34;1399322765551976452;MagdalenaGrudz2;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Wyobraziłam sobie, jakby wyglądała Warszawa,  gdyby PiS rządził po wojnie. W życiu byśmy jej nie odbudowali,  byłyby tylko plany i zaangażowanie...;https://twitter.com/Max94842047/status/1399547406107217922;Sun Jul 05 08:04:13 +0000 2020;1279687448197582848;FAŁSZ;;49211;62;21;0;;Max;Max94842047;83709;;;FAŁSZ
